algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,per,noise_std,semantic_weight,P_index,B_index,utility_reward,lyapunov_reward,scaled_reward,q_prev_before,reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario,safety_overridden,active_set_size,q_next_est
raucb_plus,0,1,800.0,512,50,3.026814655831407,0.3873143952866841,0.39208740327415237,0.26482772321497206,0,0.1,9.421994985286402,0.6455239921444735,0.05,0.9024630833364774,0,0,3.016814655831407,2413.4195345618573,3.0167744182023215,0.2750565466872109,3.016814655831407,0.0670000008540228,0.0,1.39,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,0,121,0.3484849189235435
raucb_plus,0,2,800.0,512,50,2.8398378524032806,0.43554753022027415,0.6711522007187514,0.5001399305617872,0,0.1,8.877736002429092,0.6796760821908736,0.05,0.5997126934356756,0,5,2.829837852403281,2263.7608641308493,2.8297010801635616,0.39208740327415237,2.829837852403281,0.025499997718725353,0.0,1.7573469387755103,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,0.6579859353458275
raucb_plus,0,3,800.0,512,50,2.8709759697018606,0.4237130503109108,1.0898359887930902,0.7443632958472572,0,0.1,9.7812061840809,0.621614954048941,0.05,0.43483423218636647,0,10,2.860975969701861,2288.4997752157174,2.8606247190196465,0.6711522007187514,2.860975969701861,0.02040000254055485,0.0,2.124693877551021,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,1.1275274394638979
raucb_plus,0,4,800.0,512,50,2.7904845626602826,0.4568373989201511,1.7871185377416607,1.111385053825382,0,0.1,9.621981174166423,0.6323455521776103,0.05,0.6718465667947006,0,15,2.7804845626602828,2223.6277265120248,2.779534658140031,1.0898359887930902,2.7804845626602828,0.01809999957913533,0.0,2.492040816326531,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,1.7185913196553444
raucb_plus,0,5,800.0,512,50,2.38973215892269,0.5416561513799616,2.5506769339406015,1.1249638505920718,0,0.1,8.362915642062303,0.7096564550165272,0.05,0.6674346896819005,0,20,2.3797321589226903,1902.421157773657,2.378026447217071,1.7871185377416607,2.3797321589226903,0.017899998056236655,0.0,2.8593877551020412,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,2.601537650615601
raucb_plus,0,6,800.0,512,50,2.6278863589578467,0.47837394881025075,3.690794740634608,1.1930223808649019,0,0.1,10.164550511928427,0.5949320683173169,0.05,0.5666609711341469,0,25,2.617886358957847,2091.4010149747683,2.6142512687184603,2.5506769339406015,2.617886358957847,0.019400002202019095,0.0,3.2267346938775514,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,3.564507835353598
raucb_plus,0,7,800.0,512,50,2.5941115876875553,0.4762185751780675,5.014735897289649,1.1383989036744628,0,0.1,10.594414206750658,0.5636403426020605,0.05,0.323869688687241,0,30,2.5841115876875556,2062.4028750921525,2.5780035938651906,3.690794740634608,2.5841115876875556,0.018500002624932677,0.0,3.5940816326530616,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,4.865778675562034
raucb_plus,0,8,800.0,512,50,2.648176366999356,0.47720158850789424,6.466121983951078,1.3529529794443174,0,0.1,10.92338383621086,0.5387759870250419,0.05,0.639673058408512,0,35,2.6381763669993563,2103.2627756898773,2.6290784696123466,5.014735897289649,2.6381763669993563,0.016199999663513154,0.0,3.9614285714285717,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,6.3680200054195515
raucb_plus,0,9,800.0,512,50,2.8432167199190723,0.42502471511426315,8.2899730429037,1.5176090595427025,0,0.1,11.927345412053029,0.4587271154316937,0.05,0.35442111818606215,0,40,2.8332167199190725,2254.780132507512,2.81847516563439,6.466121983951078,2.8332167199190725,0.016399993910454214,0.0,4.328775510204082,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,7.9989674411004845
raucb_plus,0,10,800.0,512,50,2.716969116504547,0.47349725122352726,10.17246695942287,1.8813210238549825,0,0.1,11.549781906820222,0.4894802808006927,0.05,0.16514996850253894,0,45,2.7069691165045473,2149.969469382264,2.68746183672783,8.2899730429037,2.7069691165045473,0.01809999957913533,0.0,4.696122448979592,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,9.993942449742834
raucb_plus,0,11,800.0,512,50,2.408766019009092,0.5123915079569482,12.322599104131687,2.2262888017152425,0,0.1,11.262394199011556,0.5123915079569482,0.05,0.36749271967878233,0,49,2.3987660190090923,1897.1406670068304,2.371425833758538,10.17246695942287,2.3987660190090923,0.015899997379165143,0.0,4.99,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,12.028094685587618
raucb_plus,0,12,800.0,512,50,3.099950453876743,0.3672059697775056,12.263283223013067,2.2558284815086305,0,0.19183673469387758,9.921174484934888,0.612009949629176,0.05,0.6215520735061056,5,0,3.0807667804073553,2465.3443501494176,3.081680437686772,12.322599104131687,3.0807667804073553,0.030099996365606785,0.0,1.3808163265306121,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,12.25253148813498
raucb_plus,0,13,800.0,512,50,2.8978284799381435,0.4224554479628108,12.461755908385179,2.442967247992967,0,0.19183673469387758,9.208106389875613,0.6592457627445136,0.05,0.10703901471291002,5,5,2.8786448064687558,2300.4819184222542,2.8756023980278176,12.263283223013067,2.8786448064687558,0.016000005416572094,0.0,1.7481632653061225,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,12.409050977711058
