algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,per,noise_std,semantic_weight,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario
lagrangian_ppo,0,1,800.0,512,50,2.7106396392708483,0.45054939859879584,0.17412607516814893,0.0,0,0.7244897959183674,9.421994985286402,0.6455239921444735,0.05,0.9024630833364774,-1,-1,2.6381906596790117,0.2750565466872109,2.6381906596790117,2110.5802893301607,2.638225361662701,140.422700002091,0.0,2.209183673469388,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,default
lagrangian_ppo,0,2,800.0,512,50,2.5901609242515313,0.48548291585062403,0.32048733793782636,0.0,0,0.5224489795918368,8.877736002429092,0.6796760821908736,0.05,0.5997126934356756,-1,-1,2.5379160262923475,0.17412607516814893,2.5379160262923475,2030.3073357216351,2.537884169652044,1.3038999968557619,0.0,2.376326530612245,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,default
lagrangian_ppo,0,3,800.0,512,50,2.160558879360214,0.5657964683792401,0.8665238414606083,0.0,0,0.7979591836734694,9.7812061840809,0.621614954048941,0.05,0.43483423218636647,-1,-1,2.080762960992867,0.32048733793782636,2.080762960992867,1664.4353710088628,2.0805442137610783,0.894600001629442,0.0,4.11204081632653,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,default
lagrangian_ppo,0,4,800.0,512,50,1.9645638414487094,0.6220215431624657,1.9156274171466332,0.0,0,0.8714285714285714,9.621981174166423,0.6323455521776103,0.05,0.6718465667947006,-1,-1,1.8774209843058522,0.8665238414606083,1.8774209843058522,1501.0277141841884,1.8762846427302355,0.9522000036668032,0.0,4.765918367346939,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,default
lagrangian_ppo,0,5,800.0,512,50,2.6214567156627804,0.4953112400319435,1.7342276902186815,0.0,0,0.7428571428571429,8.362915642062303,0.7096564550165272,0.05,0.6674346896819005,-1,-1,2.547171001377066,1.9156274171466332,2.547171001377066,2038.084295392019,2.547605369240024,0.7349000006797723,0.0,2.2073469387755105,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,default
lagrangian_ppo,0,6,800.0,512,50,2.749301066777707,0.45409100724627866,2.6662328656565197,0.06805853027283018,0,0.1,10.164550511928427,0.5949320683173169,0.05,0.5666609711341469,-1,-1,2.739301066777707,1.7342276902186815,2.739301066777707,2189.824544239494,2.7372806802993677,2.3140000048442744,0.0,2.8593877551020412,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,default
lagrangian_ppo,0,7,800.0,512,50,3.1232433378854076,0.3703922251384969,2.5829762614363125,0.0,0,0.44897959183673475,10.594414206750658,0.5636403426020605,0.05,0.323869688687241,-1,-1,3.078345378701734,2.6662328656565197,3.078345378701734,2462.898284455842,3.0786228555698023,0.7213999997475185,0.0,1.8693877551020408,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,default
lagrangian_ppo,0,8,800.0,512,50,2.648176366999356,0.47720158850789424,2.9810360496059802,0.0,0,0.8714285714285714,10.92338383621086,0.5387759870250419,0.05,0.639673058408512,-1,-1,2.561033509856499,2.5829762614363125,2.561033509856499,2047.7986289017247,2.5597482861271557,0.7882999998400919,0.0,3.8842857142857143,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,default
lagrangian_ppo,0,9,800.0,512,50,3.479817614803873,0.29770453613730324,2.4251188406443953,0.0,0,0.7061224489795919,11.927345412053029,0.4587271154316937,0.05,0.35442111818606215,-1,-1,3.4092053699059135,2.9810360496059802,3.4092053699059135,2729.0215051652417,3.411276881456552,1.8154999997932464,0.0,1.7702040816326532,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,default
lagrangian_ppo,0,10,800.0,512,50,2.9966721341049434,0.4175566477034481,3.0821565119275993,0.0,0,0.5591836734693878,11.549781906820222,0.4894802808006927,0.05,0.16514996850253894,-1,-1,2.9407537667580046,2.4251188406443953,2.9407537667580046,2351.0096189707615,2.9387620237134517,0.7422999988193624,0.0,3.6216326530612246,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,default
lagrangian_ppo,0,11,800.0,512,50,2.617905410011928,0.470563629756381,4.501218435852053,0.12455961459495413,0,0.3204081632653062,11.262394199011556,0.5123915079569482,0.05,0.36749271967878233,-1,-1,2.5858645936853972,3.0821565119275993,2.5858645936853972,2064.3179039986658,2.5803973799983324,0.7482000000891276,0.0,4.2332653061224494,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,default
lagrangian_ppo,0,12,800.0,512,50,2.150710532002919,0.5570539541522704,4.754480223500151,0.0,0,0.9448979591836735,9.921174484934888,0.612009949629176,0.05,0.6215520735061056,-1,-1,2.0562207360845517,4.501218435852053,2.0562207360845517,1643.8366022399828,2.0547957527999783,0.6989999965298921,0.0,4.097346938775511,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,default
lagrangian_ppo,0,13,800.0,512,50,2.0636807801389634,0.5892849879226469,5.394049306226062,0.0,0,0.889795918367347,9.208106389875613,0.6592457627445136,0.05,0.10703901471291002,-1,-1,1.9747011883022287,4.754480223500151,1.9747011883022287,1576.7201320864006,1.9709001651080007,1.695899998594541,0.0,3.9559183673469387,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,default
