algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,per,noise_std,semantic_weight,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario
safe_linucb,0,1,800.0,512,50,1.7357666715424598,0.6455239921444735,1.445365112556625,0.0,0,1.0,9.421994985286402,0.6455239921444735,0.05,0.9024630833364774,49,49,1.6357666715424597,0.2750565466872109,1.6357666715424597,1308.2914362012812,1.6353642952516014,22.09930000390159,0.0,4.9,task3_safe_linucb_V800.0_w512_g50_T10000_s0,exp_0,default
safe_linucb,0,2,800.0,512,50,1.619195092550283,0.6796760821908736,2.368817088452262,0.0,0,1.0,8.877736002429092,0.6796760821908736,0.05,0.5997126934356756,49,49,1.5191950925502828,1.445365112556625,1.5191950925502828,1214.0213487711453,1.5175266859639316,21.614999997837003,0.0,4.9,task3_safe_linucb_V800.0_w512_g50_T10000_s0,exp_0,default
safe_linucb,0,3,800.0,512,50,1.8814664510117096,0.621614954048941,3.053108358851656,0.0,0,1.0,9.7812061840809,0.621614954048941,0.05,0.43483423218636647,49,49,1.7814664510117095,2.368817088452262,1.7814664510117095,1423.5521999545667,1.7794402499432085,21.529799996642396,0.0,4.9,task3_safe_linucb_V800.0_w512_g50_T10000_s0,exp_0,default
safe_linucb,0,4,800.0,512,50,1.9129437963729865,0.6323455521776103,4.027551384236118,0.0,0,1.0,9.621981174166423,0.6323455521776103,0.05,0.6718465667947006,49,49,1.8129437963729864,3.053108358851656,1.8129437963729864,1447.3799569523633,1.8092249461904542,22.140399996715132,0.0,4.9,task3_safe_linucb_V800.0_w512_g50_T10000_s0,exp_0,default
safe_linucb,0,5,800.0,512,50,1.5497306407398623,0.7096564550165272,4.839682441839084,0.0,0,1.0,8.362915642062303,0.7096564550165272,0.05,0.6674346896819005,49,49,1.4497306407398622,4.027551384236118,1.4497306407398622,1156.5136130266599,1.4456420162833248,21.457700000610203,0.0,4.9,task3_safe_linucb_V800.0_w512_g50_T10000_s0,exp_0,default
safe_linucb,0,6,800.0,512,50,2.0450957614225156,0.5949320683173169,5.83522894597075,0.0,0,1.0,10.164550511928427,0.5949320683173169,0.05,0.5666609711341469,49,49,1.9450957614225155,4.839682441839084,1.9450957614225155,1551.2584802019321,1.939073100252415,21.665400003257673,0.0,4.9,task3_safe_linucb_V800.0_w512_g50_T10000_s0,exp_0,default
safe_linucb,0,7,800.0,512,50,2.1570027505675897,0.5636403426020605,6.7479865863567525,0.0,0,1.0,10.594414206750658,0.5636403426020605,0.05,0.323869688687241,49,49,2.0570027505675896,5.83522894597075,2.0570027505675896,1640.2760506502352,2.050345063312794,23.55360000365181,0.0,4.9,task3_safe_linucb_V800.0_w512_g50_T10000_s0,exp_0,default
safe_linucb,0,8,800.0,512,50,2.340304374413617,0.5387759870250419,7.520159509195484,0.0,0,1.0,10.92338383621086,0.5387759870250419,0.05,0.639673058408512,49,49,2.240304374413617,6.7479865863567525,2.240304374413617,1787.03288700523,2.233791108756537,22.301800003333483,0.0,4.9,task3_safe_linucb_V800.0_w512_g50_T10000_s0,exp_0,default
safe_linucb,0,9,800.0,512,50,2.6747047183319204,0.4587271154316937,8.392913727641446,0.0,0,1.0,11.927345412053029,0.4587271154316937,0.05,0.35442111818606215,49,49,2.5747047183319203,7.520159509195484,2.5747047183319203,2053.2005237304998,2.5665006546631246,22.042099997634068,0.0,4.9,task3_safe_linucb_V800.0_w512_g50_T10000_s0,exp_0,default
safe_linucb,0,10,800.0,512,50,2.6370539686187198,0.4894802808006927,9.136777846719902,0.0,0,1.0,11.549781906820222,0.4894802808006927,0.05,0.16514996850253894,49,49,2.5370539686187197,8.392913727641446,2.5370539686187197,2023.3999875184622,2.529249984398078,23.908000002847984,0.0,4.9,task3_safe_linucb_V800.0_w512_g50_T10000_s0,exp_0,default
