algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,per,noise_std,semantic_weight,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario
sw_ucb,0,1,800.0,512,50,3.026814655831407,0.3873143952866841,0.39208740327415237,0.26482772321497206,0,0.1,9.421994985286402,0.6455239921444735,0.05,0.9024630833364774,0,0,3.016814655831407,0.2750565466872109,3.016814655831407,2413.4195345618573,3.0167744182023215,0.0036999990697950125,0.0,1.39,task3_sw_ucb_V800.0_w512_g50_T10000_s0,exp_0,default
sw_ucb,0,2,800.0,512,50,2.9508053760262807,0.4133540254956741,0.5217765208347231,0.5001399305617872,0,0.1,8.877736002429092,0.6796760821908736,0.05,0.5997126934356756,0,1,2.940805376026281,0.39208740327415237,2.940805376026281,2352.5934513516877,2.9407418141896096,0.41849999979604036,0.0,1.463469387755102,task3_sw_ucb_V800.0_w512_g50_T10000_s0,exp_0,default
sw_ucb,0,3,800.0,512,50,3.073952281228046,0.3831177880056738,0.6602565800815425,0.7443632958472572,0,0.1,9.7812061840809,0.621614954048941,0.05,0.43483423218636647,0,2,3.063952281228046,0.5217765208347231,3.063952281228046,2451.089569338918,3.0638619616736475,0.41029999556485564,0.0,1.536938775510204,task3_sw_ucb_V800.0_w512_g50_T10000_s0,exp_0,default
sw_ucb,0,4,800.0,512,50,3.1002048331146224,0.3948933448292832,0.8776685319020137,1.111385053825382,0,0.1,9.621981174166423,0.6323455521776103,0.05,0.6718465667947006,0,3,3.0902048331146226,0.6602565800815425,3.0902048331146226,2472.0203188199202,3.0900253985249004,0.40979999903356656,0.0,1.6104081632653062,task3_sw_ucb_V800.0_w512_g50_T10000_s0,exp_0,default
sw_ucb,0,5,800.0,512,50,2.853181272402871,0.4489663286839254,1.0953506957500392,1.1249638505920718,0,0.1,8.362915642062303,0.7096564550165272,0.05,0.6674346896819005,0,4,2.8431812724028713,0.8776685319020137,2.8431812724028713,2274.3539651371316,2.8429424564214143,0.41539999801898375,0.0,1.6838775510204083,task3_sw_ucb_V800.0_w512_g50_T10000_s0,exp_0,default
sw_ucb,0,6,800.0,512,50,3.113545190237289,0.3812421825543623,1.4030179774193736,1.1930223808649019,0,0.1,10.164550511928427,0.5949320683173169,0.05,0.5666609711341469,0,5,3.103545190237289,1.0953506957500392,3.103545190237289,2482.4991486187955,3.1031239357734943,0.41909999708877876,0.0,1.7573469387755103,task3_sw_ucb_V800.0_w512_g50_T10000_s0,exp_0,default
sw_ucb,0,7,800.0,512,50,3.1462490661548794,0.36579107948460254,1.740826819981262,1.1383989036744628,0,0.1,10.594414206750658,0.5636403426020605,0.05,0.323869688687241,0,6,3.1362490661548796,1.4030179774193736,3.1362490661548796,2508.525301044858,3.135656626306073,0.414699999964796,0.0,1.8308163265306123,task3_sw_ucb_V800.0_w512_g50_T10000_s0,exp_0,default
sw_ucb,0,8,800.0,512,50,3.263920352170832,0.35405279147359897,2.0928778711406464,1.3529529794443174,0,0.1,10.92338383621086,0.5387759870250419,0.05,0.639673058408512,0,7,3.2539203521708324,1.740826819981262,3.2539203521708324,2602.5234218248047,3.253154277281006,0.4248000041116029,0.0,1.9042857142857144,task3_sw_ucb_V800.0_w512_g50_T10000_s0,exp_0,default
sw_ucb,0,9,800.0,512,50,3.4423705033400607,0.3051939584300656,2.5274684204068474,1.5176090595427025,0,0.1,11.927345412053029,0.4587271154316937,0.05,0.35442111818606215,0,8,3.432370503340061,2.0928778711406464,3.432370503340061,2744.9868577284824,3.431233572160603,0.42050000047311187,0.0,1.9777551020408164,task3_sw_ucb_V800.0_w512_g50_T10000_s0,exp_0,default
sw_ucb,0,10,800.0,512,50,3.436205447476994,0.3296499850290379,2.9634763332369576,1.8813210238549825,0,0.1,11.549781906820222,0.4894802808006927,0.05,0.16514996850253894,0,9,3.426205447476994,2.5274684204068474,3.426205447476994,2739.8623617508697,3.424827952188587,0.42770000436576083,0.0,2.051224489795919,task3_sw_ucb_V800.0_w512_g50_T10000_s0,exp_0,default
