algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario
lagrangian_ppo,0,1,800.0,512,50,4.286544831006802,0.14269103379863957,1.287994940359456,0.0,0,0.7061224489795919,9.590060847932284,0.05,-1,-1,4.215932586108843,0.2750565466872109,4.215932586108843,3372.4674535505037,4.21558431693813,360.1405000008526,0.0,4.121224489795918,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000
lagrangian_ppo,0,2,800.0,512,50,4.710255046914316,0.057948990617136785,2.373154076871056,0.0,0,0.9816326530612246,8.88632561212529,0.05,-1,-1,4.612091781608194,1.287994940359456,4.612091781608194,3688.2757458092433,4.610344682261554,1.1795999962487258,0.0,4.6079591836734695,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000
lagrangian_ppo,0,3,800.0,512,50,2.502283468611288,0.49954330627774246,2.2691001737934635,0.0,0,0.9081632653061225,6.561294837486456,0.05,-1,-1,2.4114671420806757,2.373154076871056,2.4114671420806757,1929.4206496088436,2.4117758120110544,1.5226000032271259,0.0,2.484693877551021,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000
lagrangian_ppo,0,4,800.0,512,50,4.222618683883043,0.15547626322339134,3.309231975546431,0.0,0,0.7244897959183674,6.017035854629147,0.05,-1,-1,4.150169704291207,2.2691001737934635,4.150169704291207,3317.7756001808393,4.147219500226049,0.8022999973036349,0.0,4.045918367346939,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000
lagrangian_ppo,0,5,800.0,512,50,2.463722435580731,0.5072555128838538,3.2612245138384726,0.0,0,0.889795918367347,5.888501191685113,0.05,-1,-1,2.374742843743996,3.309231975546431,2.374742843743996,1899.9531428225455,2.374941428528182,0.7213999997475185,0.0,2.339591836734694,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000
lagrangian_ppo,0,6,800.0,512,50,3.5119090950272196,0.29761818099455606,4.293032564503599,0.2516661923844014,0,0.2469387755102041,6.791971373336922,0.05,-1,-1,3.4872152174761992,3.2612245138384726,3.4872152174761992,2786.4072162725543,3.4830090203406927,0.7093999956850894,0.0,3.579387755102041,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000
lagrangian_ppo,0,7,800.0,512,50,1.893368156798543,0.6213263686402914,4.654881173586732,0.44078751685354495,0,0.15510204081632656,6.334245547669583,0.05,-1,-1,1.8778579527169104,4.293032564503599,1.8778579527169104,1500.732934311314,1.8759161678891425,1.4512000052491203,0.0,1.8987755102040818,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000
lagrangian_ppo,0,8,800.0,512,50,2.537578087230523,0.4924843825538954,5.040817153706031,0.1442810046220201,0,0.5591836734693878,6.175020537755104,0.05,-1,-1,2.4816597198835844,4.654881173586732,2.4816597198835844,1983.5312897788003,2.4794141122235005,0.8551999999326654,0.0,2.446122448979592,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000
lagrangian_ppo,0,9,800.0,512,50,4.19424107370575,0.16115178525885004,6.71876517062297,0.49293541566136945,0,0.11836734693877551,5.521191928336765,0.05,-1,-1,4.182404339011872,5.040817153706031,4.182404339011872,3337.465242062796,4.171831552578495,0.8159999997587875,0.0,4.033061224489796,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000
lagrangian_ppo,0,10,800.0,512,50,1.7720086910904511,0.6455982617819098,6.547359957575953,0.0,0,0.926530612244898,4.262126396232645,0.05,-1,-1,1.6793556298659613,6.71876517062297,1.6793556298659613,1344.6361352682525,1.6807951690853156,0.7699000052525662,0.0,1.6012244897959185,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000
lagrangian_ppo,0,11,800.0,512,50,3.5062299132776498,0.29875401734447005,7.431281216240585,0.0,0,0.7979591836734694,4.5265820265619485,0.05,-1,-1,3.426433994910303,6.547359957575953,3.426433994910303,2735.359845273611,3.4191998065920135,1.4020000016898848,0.0,3.2304081632653063,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000
lagrangian_ppo,0,12,800.0,512,50,1.7934538510574973,0.6413092297885006,7.5214500548845935,0.0,0,0.5408163265306123,6.328216896428074,0.05,-1,-1,1.739372218404436,7.431281216240585,1.739372218404436,1390.8277047266436,1.7385346309083045,0.7667000027140602,0.0,1.860204081632653,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000
lagrangian_ppo,0,13,800.0,512,50,4.0844101652018745,0.1831179669596251,8.173350591102215,0.0,0,0.7612244897959184,6.3237627633079905,0.05,-1,-1,4.0082877162222825,7.5214500548845935,4.0082877162222825,3201.7269356539127,4.0021586695673905,0.738800001272466,0.0,3.9687755102040816,task3_lagrangian_ppo_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000
