algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,noise_std,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario
lyapunov_greedy_oracle,2,1,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.963862577925963,0.0,4.963862577925963,3971.09006234077,4.963862577925963,0.08079998951870948,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,2,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.969346822830405,0.0,4.969346822830405,3975.4774582643245,4.969346822830405,0.04569999873638153,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,3,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.867926630868007,0.0,4.867926630868007,3894.341304694406,4.867926630868007,0.0481999886687845,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,4,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.079985369136045,0.0,5.079985369136045,4063.988295308836,5.079985369136045,0.04300000728107989,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,5,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.047208293601861,0.0,5.047208293601861,4037.766634881489,5.047208293601861,0.04150001041125506,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,6,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.973728858156609,0.0,4.973728858156609,3978.9830865252875,4.973728858156609,0.04069998976774514,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,7,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.028690329336383,0.0,5.028690329336383,4022.9522634691066,5.028690329336383,0.04769999941345304,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,8,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.0040605334898824,0.0,5.0040605334898824,4003.248426791906,5.0040605334898824,0.04120000812690705,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,9,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.9623088581787975,0.0,4.9623088581787975,3969.847086543038,4.9623088581787975,0.03619999915827066,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,10,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.038878372556302,0.0,5.038878372556302,4031.1026980450415,5.038878372556302,0.033899996196851134,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,11,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.974472172667043,0.0,4.974472172667043,3979.5777381336343,4.974472172667043,0.033899996196851134,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,12,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.973558804797102,0.0,4.973558804797102,3978.847043837682,4.973558804797102,0.03470000228844583,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,13,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.950392662232055,0.0,4.950392662232055,3960.3141297856437,4.950392662232055,0.03440000000409782,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,14,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.012747903562043,0.0,5.012747903562043,4010.198322849634,5.012747903562043,0.033899996196851134,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,15,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.985040097414131,0.0,4.985040097414131,3988.0320779313047,4.985040097414131,0.03430001379456371,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,16,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.017264435698234,0.0,5.017264435698234,4013.811548558587,5.017264435698234,0.034199998481199145,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,17,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.9596407150064685,0.0,4.9596407150064685,3967.712572005175,4.9596407150064685,0.034199998481199145,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,18,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.9963413923555935,0.0,4.9963413923555935,3997.073113884475,4.9963413923555935,0.03440000000409782,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,19,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.94538629782851,0.0,4.94538629782851,3956.3090382628084,4.94538629782851,0.03390001074876636,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,20,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.032073248618508,0.0,5.032073248618508,4025.658598894806,5.032073248618508,0.03609999839682132,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,21,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.9994017543490346,0.0,4.9994017543490346,3999.5214034792275,4.9994017543490346,0.033899996196851134,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,22,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.006528550406767,0.0,5.006528550406767,4005.2228403254135,5.006528550406767,0.0340000115102157,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,23,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.010525195648514,0.0,5.010525195648514,4008.420156518811,5.010525195648514,0.03310000465717167,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,24,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.939462124992334,0.0,4.939462124992334,3951.569699993867,4.939462124992334,0.03370000922586769,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,25,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.0291590498072045,0.0,5.0291590498072045,4023.3272398457634,5.0291590498072045,0.03429999924264848,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,26,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.092835140917119,0.0,5.092835140917119,4074.268112733695,5.092835140917119,0.03359999391250312,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,27,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.908077874838224,0.0,4.908077874838224,3926.462299870579,4.908077874838224,0.03430001379456371,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,28,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.903529426642276,0.0,4.903529426642276,3922.823541313821,4.903529426642276,0.033899996196851134,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,29,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.914758429306784,0.0,4.914758429306784,3931.806743445427,4.914758429306784,0.033800009987317026,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,30,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.0320729446727,0.0,5.0320729446727,4025.6583557381605,5.0320729446727,0.03340000694151968,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,31,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.996435782873704,0.0,4.996435782873704,3997.148626298963,4.996435782873704,0.03430001379456371,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,32,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.043917122036965,0.0,5.043917122036965,4035.133697629572,5.043917122036965,0.033500007702969015,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,33,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.026121543615375,0.0,5.026121543615375,4020.8972348923,5.026121543615375,0.034200013033114374,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,34,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.000528590618765,0.0,5.000528590618765,4000.4228724950117,5.000528590618765,0.03399999695830047,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
lyapunov_greedy_oracle,2,35,800.0,5000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.004201907262519,0.0,5.004201907262519,4003.361525810015,5.004201907262519,0.033500007702969015,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w5000_g50_T5000_s2,exp_2,bandit_stationary_pure
