algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id
sw_ucb,2,19,800.0,300,10,4.6,0.0,0.0,0.0,0,0.2,10.0,0.05,1,8,4.53538629782851,0.0,4.53538629782851,3628.3090382628084,4.53538629782851,0.05610000152955763,4.99,4.58,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,20,800.0,300,10,5.0,0.0,0.0,0.0,0,0.2,10.0,0.05,1,9,5.022073248618508,0.0,5.022073248618508,4017.6585988948063,5.022073248618508,0.05790000068373047,4.99,4.98,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,21,800.0,300,10,1.4,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,0,1.3794017543490342,0.0,1.3794017543490342,1103.5214034792273,1.379401754349034,0.060399999711080454,4.99,1.3699999999999999,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,22,800.0,300,10,1.8,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,1,1.7865285504067663,0.0,1.7865285504067663,1429.222840325413,1.7865285504067663,0.07129999903554562,4.99,1.77,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,23,800.0,300,10,2.2,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,2,2.1905251956485134,0.0,2.1905251956485134,1752.4201565188107,2.1905251956485134,0.06709999979648273,4.99,2.1700000000000004,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,24,800.0,300,10,2.6,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,3,2.5194621249923337,0.0,2.5194621249923337,2015.5696999938668,2.5194621249923337,0.06550000034621917,4.99,2.5700000000000003,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,25,800.0,300,10,3.0,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,4,3.009159049807204,0.0,3.009159049807204,2407.3272398457634,3.009159049807204,0.0667000003886642,4.99,2.97,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,26,800.0,300,10,3.4,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,5,3.4728351409171188,0.0,3.4728351409171188,2778.268112733695,3.4728351409171188,0.06859999848529696,4.99,3.37,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,27,800.0,300,10,3.8000000000000003,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,6,3.6880778748382244,0.0,3.6880778748382244,2950.4622998705795,3.6880778748382244,0.07059999916236848,4.99,3.7700000000000005,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,28,800.0,300,10,4.2,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,7,4.083529426642276,0.0,4.083529426642276,3266.8235413138204,4.083529426642276,0.07330000153160654,4.99,4.17,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,29,800.0,300,10,4.6,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,8,4.494758429306783,0.0,4.494758429306783,3595.8067434454265,4.494758429306783,0.07419999928970356,4.99,4.569999999999999,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,30,800.0,300,10,5.0,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,9,5.0120729446727,0.0,5.0120729446727,4009.65835573816,5.0120729446727,0.07709999954386149,4.99,4.97,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,31,800.0,300,10,1.4,0.0,0.0,0.0,0,0.4,10.0,0.05,3,0,1.3664357828737033,0.0,1.3664357828737033,1093.1486262989627,1.3664357828737033,0.079100000220933,4.99,1.3599999999999999,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,32,800.0,300,10,1.8,0.0,0.0,0.0,0,0.4,10.0,0.05,3,1,1.813917122036965,0.0,1.813917122036965,1451.133697629572,1.813917122036965,0.08060000072873663,4.99,1.76,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,33,800.0,300,10,2.2,0.0,0.0,0.0,0,0.4,10.0,0.05,3,2,2.196121543615375,0.0,2.196121543615375,1756.8972348923,2.196121543615375,0.08610000077169389,4.99,2.16,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,34,800.0,300,10,2.6,0.0,0.0,0.0,0,0.4,10.0,0.05,3,3,2.570528590618764,0.0,2.570528590618764,2056.4228724950112,2.570528590618764,0.08479999996779952,4.99,2.56,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,35,800.0,300,10,3.0,0.0,0.0,0.0,0,0.4,10.0,0.05,3,4,2.9742019072625183,0.0,2.9742019072625183,2379.3615258100144,2.974201907262518,0.08710000111022964,4.99,2.96,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,36,800.0,300,10,3.4,0.0,0.0,0.0,0,0.4,10.0,0.05,3,5,3.351511975113843,0.0,3.351511975113843,2681.2095800910743,3.351511975113843,0.0884000000951346,4.99,3.36,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,37,800.0,300,10,3.8000000000000003,0.0,0.0,0.0,0,0.4,10.0,0.05,3,6,3.803423010560576,0.0,3.803423010560576,3042.7384084484606,3.803423010560576,0.09080000018002465,4.99,3.7600000000000002,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,38,800.0,300,10,4.2,0.0,0.0,0.0,0,0.4,10.0,0.05,3,7,4.103514201910962,0.0,4.103514201910962,3282.81136152877,4.103514201910962,0.09250000039173756,4.99,4.16,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,39,800.0,300,10,4.6,0.0,0.0,0.0,0,0.4,10.0,0.05,3,8,4.538907058691084,0.0,4.538907058691084,3631.125646952867,4.538907058691084,0.09520000094198622,4.99,4.56,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,40,800.0,300,10,5.0,0.0,0.0,0.0,0,0.4,10.0,0.05,3,9,4.972146942654937,0.0,4.972146942654937,3977.7175541239494,4.972146942654937,0.09710000085760839,4.99,4.96,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,41,800.0,300,10,1.4,0.0,0.0,0.0,0,0.5,10.0,0.05,4,0,1.4400710429224666,0.0,1.4400710429224666,1152.0568343379732,1.4400710429224666,0.09920000047713984,4.99,1.3499999999999999,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,42,800.0,300,10,1.8,0.0,0.0,0.0,0,0.5,10.0,0.05,4,1,1.71177679421398,0.0,1.71177679421398,1369.421435371184,1.71177679421398,0.10459999975864775,4.99,1.75,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
