algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,utility_reward,lyapunov_reward,scaled_reward,q_prev_before,reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id
raucb_plus,1,22,800.0,300,10,1.8,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,1,1.8347031907199103,1467.762552575928,1.83470319071991,0.0,1.8347031907199103,0.3285000002506422,4.99,1.77,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,23,800.0,300,10,2.2,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,2,2.22033621576529,1776.2689726122321,2.22033621576529,0.0,2.22033621576529,0.40300000000570435,4.99,2.1700000000000004,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,24,800.0,300,10,2.6,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,3,2.434441876051702,1947.5535008413615,2.434441876051702,0.0,2.434441876051702,0.3687999997055158,4.99,2.5700000000000003,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,25,800.0,300,10,3.0,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,4,2.8755493377016164,2300.4394701612932,2.8755493377016164,0.0,2.8755493377016164,0.3882000000885455,4.99,2.97,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,26,800.0,300,10,3.4,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,5,3.361261395397242,2689.0091163177935,3.361261395397242,0.0,3.361261395397242,0.38700000004610047,4.99,3.37,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,27,800.0,300,10,3.8000000000000003,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,6,3.7488904794211826,2999.1123835369463,3.748890479421183,0.0,3.7488904794211826,0.40069999886327423,4.99,3.7700000000000005,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,28,800.0,300,10,4.2,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,7,4.18068214987493,3344.5457198999443,4.18068214987493,0.0,4.18068214987493,0.41009999949892517,4.99,4.17,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,29,800.0,300,10,4.6,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,8,4.580866096551127,3664.692877240902,4.580866096551127,0.0,4.580866096551127,0.42469999971217476,4.99,4.569999999999999,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,30,800.0,300,10,5.0,0.0,0.0,0.0,0,0.30000000000000004,10.0,0.05,2,9,5.075891937752552,4060.713550202042,5.075891937752552,0.0,5.075891937752552,0.5055999990872806,4.99,4.97,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,31,800.0,300,10,1.4,0.0,0.0,0.0,0,0.4,10.0,0.05,3,0,1.3043989618653857,1043.5191694923085,1.3043989618653855,0.0,1.3043989618653857,0.47140000060608145,4.99,1.3599999999999999,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,32,800.0,300,10,1.8,0.0,0.0,0.0,0,0.4,10.0,0.05,3,1,1.7411197496436501,1392.89579971492,1.7411197496436501,0.0,1.7411197496436501,0.4718999989563599,4.99,1.76,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,33,800.0,300,10,2.2,0.0,0.0,0.0,0,0.4,10.0,0.05,3,2,2.2621385803746166,1809.7108642996932,2.2621385803746166,0.0,2.2621385803746166,0.487299999804236,4.99,2.16,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,34,800.0,300,10,2.6,0.0,0.0,0.0,0,0.4,10.0,0.05,3,3,2.5923351498100926,2073.868119848074,2.5923351498100926,0.0,2.5923351498100926,0.50809999993362,4.99,2.56,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,35,800.0,300,10,3.0,0.0,0.0,0.0,0,0.4,10.0,0.05,3,4,2.993153168618813,2394.5225348950503,2.9931531686188126,0.0,2.993153168618813,0.5271999998512911,4.99,2.96,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,36,800.0,300,10,3.4,0.0,0.0,0.0,0,0.4,10.0,0.05,3,5,3.3342996814156267,2667.4397451325012,3.3342996814156267,0.0,3.3342996814156267,0.5395999996835599,4.99,3.36,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,37,800.0,300,10,3.8000000000000003,0.0,0.0,0.0,0,0.4,10.0,0.05,3,6,3.6775962414572176,2942.076993165774,3.6775962414572176,0.0,3.6775962414572176,0.5529000009119045,4.99,3.7600000000000002,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,38,800.0,300,10,4.2,0.0,0.0,0.0,0,0.4,10.0,0.05,3,7,4.168373237211137,3334.6985897689096,4.168373237211137,0.0,4.168373237211137,0.5655999993905425,4.99,4.16,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,39,800.0,300,10,4.6,0.0,0.0,0.0,0,0.4,10.0,0.05,3,8,4.565450704391077,3652.360563512862,4.565450704391077,0.0,4.565450704391077,0.5818000008730451,4.99,4.56,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,40,800.0,300,10,5.0,0.0,0.0,0.0,0,0.4,10.0,0.05,3,9,4.898632397287772,3918.9059178302173,4.898632397287772,0.0,4.898632397287772,0.6658000002062181,4.99,4.96,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,41,800.0,300,10,1.4,0.0,0.0,0.0,0,0.5,10.0,0.05,4,0,1.3158386669109718,1052.6709335287774,1.3158386669109716,0.0,1.3158386669109718,0.6286000007094117,4.99,1.3499999999999999,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
