algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,noise_std,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario
lyapunov_greedy_oracle,0,20,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.983573266852798,0.0,4.983573266852798,3986.8586134822385,4.983573266852798,0.021100000594742596,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,21,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.0583231735274845,0.0,5.0583231735274845,4046.658538821988,5.0583231735274845,0.02130000211764127,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,22,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.95674026632567,0.0,4.95674026632567,3965.392213060536,4.95674026632567,0.021200001356191933,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,23,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.007575503504651,0.0,5.007575503504651,4006.060402803721,5.007575503504651,0.021100000594742596,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,24,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.035173509082591,0.0,5.035173509082591,4028.1388072660725,5.035173509082591,0.021100000594742596,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,25,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.9947006148880435,0.0,4.9947006148880435,3995.7604919104347,4.9947006148880435,0.021500003640539944,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,26,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.9528250375323095,0.0,4.9528250375323095,3962.2600300258478,4.9528250375323095,0.021400002879090607,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,27,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.943913731187079,0.0,4.943913731187079,3955.1309849496633,4.943913731187079,0.021100000594742596,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,28,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.967113708716633,0.0,4.967113708716633,3973.690966973307,4.967113708716633,0.02099999983329326,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,29,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.001009756173502,0.0,5.001009756173502,4000.807804938802,5.001009756173502,0.020899999071843922,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,30,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.9395190908230635,0.0,4.9395190908230635,3951.615272658451,4.9395190908230635,0.021100000594742596,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,31,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.979541221256414,0.0,4.979541221256414,3983.6329770051316,4.979541221256414,0.0219999928958714,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,32,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.982038749504277,0.0,4.982038749504277,3985.6309996034215,4.982038749504277,0.02169999061152339,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,33,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.017042279234291,0.0,5.017042279234291,4013.6338233874326,5.017042279234291,0.021200001356191933,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,34,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.000732956125317,0.0,5.000732956125317,4000.5863649002536,5.000732956125317,0.021900006686337292,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,35,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.007768635451996,0.0,5.007768635451996,4006.2149083615973,5.007768635451996,0.02160000440198928,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,36,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.957308569529083,0.0,4.957308569529083,3965.8468556232665,4.957308569529083,0.021500003640539944,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,37,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,4.983519318315362,0.0,4.983519318315362,3986.8154546522896,4.983519318315362,0.020899999071843922,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,38,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.029198773503067,0.0,5.029198773503067,4023.3590188024536,5.029198773503067,0.021100000594742596,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
lyapunov_greedy_oracle,0,39,800.0,2000,50,5.0,0.0,0.0,0.0,0,0.1,0.05,5.064671557261038,0.0,5.064671557261038,4051.7372458088303,5.064671557261038,0.021100000594742596,4.99,4.99,task3_lyapunov_greedy_oracle_V800.0_w2000_g50_T2000_s0,exp_0,bandit_stationary_pure
