algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,P_index,B_index,utility_reward,lyapunov_reward,scaled_reward,q_prev_before,reward,decision_latency_ms,run_tag,experiment_id
raucb_plus,2,1,800.0,300,50,1.477380658672766,0.7045238682654468,0.35100595359206666,0.0,0,0.1,11.988760764514437,0,0,1.467380658672766,1173.8851912652374,1.4673564890815467,0.2825806210035535,1.467380658672766,0.05390000296756625,task3_raucb_plus_V800.0_w300_g50_T2000_s2,exp_2
raucb_plus,2,2,800.0,300,50,2.088944345334085,0.582211130933183,0.7928963059952985,0.181132831390214,0,0.1,12.269971434312087,0,1,2.0789443453340852,1663.0003701227397,2.078750462653425,0.35100595359206666,2.0789443453340852,0.05959998816251755,task3_raucb_plus_V800.0_w300_g50_T2000_s2,exp_2
raucb_plus,2,3,800.0,300,50,2.8300801948282612,0.4339839610343478,1.6259333677425454,0.29252516802527795,0,0.1,11.941147530254124,0,2,2.8200801948282614,2255.4036438535927,2.819254554816991,0.7928963059952985,2.8200801948282614,0.07539999205619097,task3_raucb_plus_V800.0_w300_g50_T2000_s2,exp_2
raucb_plus,2,4,800.0,300,50,3.470772595657021,0.30584548086859586,2.8435821037123388,0.388337584565291,0,0.1,12.486436244218806,0,3,3.460772595657021,2766.638260815614,3.4582978260195176,1.6259333677425454,3.460772595657021,0.09740001405589283,task3_raucb_plus_V800.0_w300_g50_T2000_s2,exp_2
raucb_plus,2,5,800.0,300,50,4.3210503912970255,0.1357899217405949,4.324242617166619,0.7339422893155806,0,0.1,13.327901216588948,0,4,4.311050391297026,3444.6299332998883,4.30578741662486,2.8435821037123388,4.311050391297026,0.14029999147169292,task3_raucb_plus_V800.0_w300_g50_T2000_s2,exp_2
raucb_plus,2,6,800.0,300,50,4.836155749676448,0.03276885006471044,6.509651837916633,0.8693972320234594,0,0.1,12.317143716435615,0,5,4.826155749676448,3851.4743600528423,4.814342950066052,4.324242617166619,4.826155749676448,0.1495999749749899,task3_raucb_plus_V800.0_w300_g50_T2000_s2,exp_2
raucb_plus,2,7,800.0,300,50,1.4128715657474067,0.7174256868505187,6.307444693866428,0.6903509557881846,0,0.28,10.587732249281132,1,0,1.3848715657474067,1109.2135507048315,1.3865169383810394,6.509651837916633,1.3848715657474067,0.20340000628493726,task3_raucb_plus_V800.0_w300_g50_T2000_s2,exp_2
raucb_plus,2,8,800.0,300,50,2.1484038145250373,0.5703192370949925,6.537361016205346,0.7325690903909434,0,0.28,11.66607469002043,1,1,2.1204038145250372,1694.8728671326598,2.118591083915825,6.307444693866428,2.1204038145250372,0.25030001415871084,task3_raucb_plus_V800.0_w300_g50_T2000_s2,exp_2
raucb_plus,2,9,800.0,300,50,2.7978141173821682,0.44043717652356634,7.089377234009114,0.8836280828447574,0,0.28,11.496314192297294,1,2,2.769814117382168,2212.242564603151,2.765303205753939,6.537361016205346,2.769814117382168,0.26630001957528293,task3_raucb_plus_V800.0_w300_g50_T2000_s2,exp_2
raucb_plus,2,10,800.0,300,50,3.4520939540863056,0.3095812091827389,8.016726449882379,1.018306145748048,0,0.28,11.73925304539603,1,3,3.4240939540863056,2732.7008348500563,3.4158760435625704,7.089377234009114,3.4240939540863056,0.2812999882735312,task3_raucb_plus_V800.0_w300_g50_T2000_s2,exp_2
raucb_plus,2,11,800.0,300,50,4.412434701923695,0.11751305961526093,9.159968291011106,0.99972039770993,0,0.28,11.175965846891991,1,4,4.384434701923696,3498.382704432568,4.37297838054071,8.016726449882379,4.384434701923696,0.3502999898046255,task3_raucb_plus_V800.0_w300_g50_T2000_s2,exp_2
raucb_plus,2,12,800.0,300,50,4.858133431019851,0.02837331379602972,10.465231323422872,1.0706951359029249,0,0.28,9.303436329285967,1,5,4.830133431019852,3852.1505768275606,4.81518822103445,9.159968291011106,4.830133431019852,0.3915000124834478,task3_raucb_plus_V800.0_w300_g50_T2000_s2,exp_2
raucb_plus,2,13,800.0,300,50,1.4999701422151779,0.7000059715569644,10.148267432388494,0.8032427031433331,0,0.45999999999999996,9.457018215821924,2,0,1.4539701422151778,1166.4932142129894,1.4581165177662367,10.465231323422872,1.4539701422151778,0.3389000194147229,task3_raucb_plus_V800.0_w300_g50_T2000_s2,exp_2
