algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,run_tag,experiment_id
lagrangian_ppo,2,1,800.0,300,50,4.31948592183066,0.136102815633868,1.8309911169373037,0.0,0,0.1473684210526316,11.988760764514437,15,1,4.304749079725397,0.2825806210035535,4.304749079725397,3443.3617129808085,4.3042021412260105,0.020000006770715117,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,2,800.0,300,50,3.0742075032288216,0.3851584993542357,1.7067684384085655,0.0,0,0.8105263157894737,12.269971434312087,9,15,2.993154871649874,1.8309911169373037,2.993154871649874,2394.7513479408076,2.9934391849260096,0.0040000013541430235,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,3,800.0,300,50,1.5795538790387875,0.6840892241922425,0.9530460777440872,0.0,0,0.7157894736842105,11.941147530254124,1,13,1.5079749316703666,1.7067684384085655,1.5079749316703666,1207.6663748727983,1.5095829685909978,0.0052000104915350676,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,4,800.0,300,50,4.152877858814915,0.16942442823701692,1.945258571589124,0.0,0,0.4789473684210527,12.486436244218806,15,8,4.10498312197281,0.9530460777440872,4.10498312197281,3283.0408733527006,4.103801091690876,0.0043000036384910345,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,5,800.0,300,50,3.9042082860338683,0.21915834279322635,2.585253843092654,0.0,0,0.4789473684210527,13.327901216588948,13,8,3.856313549191763,1.945258571589124,3.856313549191763,3083.8058830657415,3.8547573538321767,0.0047000066842883825,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,6,800.0,300,50,1.8045768023080262,0.6390846395383948,1.7578464319773142,0.0,0,0.9052631578947369,12.317143716435615,3,17,1.7140504865185524,2.585253843092654,1.7140504865185524,1373.3794474042313,1.716724309255289,0.0043000036384910345,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,7,800.0,300,50,4.065503144694775,0.186899371061045,2.8476884841127736,0.0,0,0.1473684210526316,10.587732249281132,14,1,4.050766302589512,1.7578464319773142,4.050766302589512,3238.6972671088442,4.0483715838860554,0.0024999899324029684,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,8,800.0,300,50,4.838930130314511,0.032213973937097864,3.975299799528683,0.0,0,0.7157894736842105,11.66607469002043,18,13,4.76735118294609,2.8476884841127736,4.76735118294609,3810.6698605994065,4.763337325749259,0.005699985194951296,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,9,800.0,300,50,1.3578141173821683,0.7284371765235663,3.7667902279383982,0.14158530824328774,0,0.2894736842105263,11.496314192297294,0,4,1.3288667489611157,3.975299799528683,1.3288667489611157,1063.9222872270352,1.329902859033794,0.0030999945010989904,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,10,800.0,300,50,4.513146585665254,0.0973706828669492,5.443422149334767,0.40889495009394694,0,0.1473684210526316,11.73925304539603,17,1,4.498409743559991,3.7667902279383982,4.498409743559991,3592.4122741106275,4.490515342638284,0.0023999891709536314,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,11,800.0,300,50,3.4271715440289587,0.31456569119420824,5.715477296732221,0.0966249915295131,0,0.5736842105263158,11.175965846891991,10,10,3.369803122976327,5.443422149334767,3.369803122976327,2694.3615873658778,3.3679519842073473,0.002300017513334751,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,12,800.0,300,50,3.1528702731251146,0.3694259453749771,5.488159756250994,0.0,0,1.0,9.303436329285967,10,19,3.0528702731251145,5.715477296732221,3.0528702731251145,2443.595446741861,3.0544943084273264,0.0044000043999403715,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,13,800.0,300,50,4.152601721162546,0.16947965576749074,6.316963948790637,0.0,0,0.7631578947368421,9.457018215821924,14,14,4.076285931688862,5.488159756250994,4.076285931688862,3256.4801355357818,4.070600169419727,0.0042000028770416975,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,14,800.0,300,50,2.080789520860152,0.5838420958279695,5.758725486104037,0.0,0,0.8105263157894737,11.831905129139068,4,15,1.9997368892812046,6.316963948790637,1.9997368892812046,1603.3158836685832,2.004144854585729,0.0040000013541430235,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,15,800.0,300,50,2.354312548793777,0.5291374902412447,5.238635971594828,0.0,0,0.7631578947368421,12.479969730683553,6,14,2.2779967593200925,5.758725486104037,2.2779967593200925,1825.3924601983338,2.2817405752479174,0.0044000043999403715,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
lagrangian_ppo,2,16,800.0,300,50,3.8996439298803125,0.2200712140239375,5.714501662461606,0.0,0,0.8105263157894737,12.374709952268521,14,15,3.818591298301365,5.238635971594828,3.818591298301365,3052.3801515152695,3.815475189394087,0.004599976819008589,task3_lagrangian_ppo_V800.0_w300_g50_T2000_s2,exp_2
