algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,run_tag,experiment_id,best_by_metric
best_fixed_arm_oracle,0,1,800.0,300,50,3.654708096312924,0.26905838073741517,0.5676297962618688,0,0,1.0,9.590060847932284,5,3,3.554708096312924,0.2750565466872109,3.554708096312924,2843.6860028626584,3.554607503578323,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,2,800.0,300,50,3.5641325979347243,0.2871734804130551,0.9595961757255447,0,0,1.0,8.88632561212529,5,3,3.464132597934724,0.5676297962618688,3.464132597934724,2771.083586551663,3.4638544831895786,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,3,800.0,300,50,3.486773264529655,0.302645347094069,1.180630135596135,0,0,1.0,6.561294837486456,5,3,3.386773264529655,0.9595961757255447,3.386773264529655,2709.2065082811264,3.386508135351408,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,4,800.0,300,50,3.6642513369442677,0.26714973261114644,1.7297287985350267,0,0,1.0,6.017035854629147,5,3,3.5642513369442677,1.180630135596135,3.5642513369442677,2850.7527871265333,3.563440983908167,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,5,800.0,300,50,3.595151007009302,0.2809697985981396,2.0812991871421644,0,0,1.0,5.888501191685113,5,3,3.495151007009302,1.7297287985350267,3.495151007009302,2795.5126841815554,3.4943908552269445,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,6,800.0,300,50,3.4678274623741583,0.3064345075251683,2.4527456732571338,0,0,1.0,6.791971373336922,5,3,3.367827462374158,2.0812991871421644,3.367827462374158,2693.488878629709,3.366861098287136,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,7,800.0,300,50,3.5390824425128287,0.29218351149743427,3.0180001292475582,0,0,1.0,6.334245547669583,5,3,3.4390824425128286,2.4527456732571338,3.4390824425128286,2749.879528589043,3.4373494107363034,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,8,800.0,300,50,3.5955372709039923,0.28089254581920153,3.6395245922075397,0,0,1.0,6.175020537755104,5,3,3.4955372709039922,3.0180001292475582,3.4955372709039922,2794.55405581365,3.4931925697670625,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,9,800.0,300,50,3.7093431145220763,0.25813137709558476,4.428793372352133,0,0,1.0,5.521191928336765,5,3,3.6093431145220762,3.6395245922075397,3.6093431145220762,2884.601928482463,3.6057524106030785,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,10,800.0,300,50,3.6381311400700427,0.27237377198599144,5.084824701053934,0,0,1.0,4.262126396232645,5,3,3.5381311400700426,4.428793372352133,3.5381311400700426,2827.599484855424,3.53449935606928,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,11,800.0,300,50,3.7560258316449966,0.2487948336710007,5.998822415960144,0,0,1.0,4.5265820265619485,5,3,3.6560258316449965,5.084824701053934,3.6560258316449965,2920.1731471585354,3.6502164339481693,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,12,800.0,300,50,3.439168136771783,0.31216637264564345,6.658109107505174,0,0,1.0,6.328216896428074,5,3,3.3391681367717827,5.998822415960144,3.3391681367717827,2667.3795656336415,3.334224457042052,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,13,800.0,300,50,3.599512206018201,0.2800975587963598,6.921625595911935,0,0,1.0,6.3237627633079905,5,3,3.499512206018201,6.658109107505174,3.499512206018201,2797.8552432831216,3.497319054103902,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,14,800.0,300,50,3.4938297427960965,0.3012340514407807,7.509140315032751,0,0,1.0,6.7536264581302206,5,3,3.3938297427960964,6.921625595911935,3.3938297427960964,2710.9972373190353,3.388746546648794,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,15,800.0,300,50,3.510408927155785,0.297918214568843,7.845130092448115,0,0,1.0,6.317191210987,5,3,3.410408927155785,7.509140315032751,3.410408927155785,2725.804147341599,3.407255184176999,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,16,800.0,300,50,3.692036098708184,0.2615927802583632,8.38242136490587,0,0,1.0,6.646160840447202,5,3,3.592036098708184,7.845130092448115,3.592036098708184,2869.413759036579,3.586767198795724,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,17,800.0,300,50,3.6283686190776536,0.27432627618446925,8.550495765136812,0,0,1.0,7.279513463272117,5,3,3.5283686190776535,8.38242136490587,3.5283686190776535,2821.286024818733,3.526607531023416,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,18,800.0,300,50,3.617374277486052,0.27652514450278964,9.027811718017183,0,0,1.0,8.283475039114286,5,3,3.5173742774860517,8.550495765136812,3.5173742774860517,2809.8181339551056,3.5122726674438822,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,19,800.0,300,50,3.6535049988114023,0.2692990002377195,9.298115328392344,0,0,1.0,10.10548640244261,5,3,3.5535049988114022,9.027811718017183,3.5535049988114022,2840.3637489479547,3.5504546861849433,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,20,800.0,300,50,3.496680590980777,0.30066388180384457,9.307478121448513,0,0,1.0,10.154541016267922,5,3,3.396680590980777,9.298115328392344,3.396680590980777,2717.2574164549897,3.396571770568737,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,21,800.0,300,50,3.623041149076823,0.2753917701846354,9.485411521324954,0,0,1.0,9.776977511035113,5,3,3.523041149076823,9.307478121448513,3.523041149076823,2816.7768080350334,3.520971010043792,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,22,800.0,300,50,3.7289107452443675,0.2542178509511265,9.587899345837034,0,0,1.0,10.35814332344792,5,3,3.6289107452443674,9.485411521324954,3.6289107452443674,2902.156457004072,3.62769557125509,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
best_fixed_arm_oracle,0,23,800.0,300,50,3.4864516707657724,0.3027096658468455,9.795238620087861,0,0,1.0,10.070755615639253,5,3,3.3864516707657724,9.587899345837034,3.3864516707657724,2707.1733885206622,3.383966735650828,0.0,task3_best_fixed_arm_oracle_V800.0_w300_g50_T2000_s0,exp_0,scaled_reward
