algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,run_tag,experiment_id
safe_linucb,1,1,800.0,300,50,5.0,0.0,1.0658801183621476,0.0,0,1.0,11.250940058737903,19,19,4.9,0.533586466526325,4.9,3919.7159753111628,4.899644969138953,5.923599994275719,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,2,800.0,300,50,5.0,0.0,1.2359883520911046,0.0,0,1.0,11.61551245492398,19,19,4.9,1.0658801183621476,4.9,3919.818685015699,4.899773356269623,6.974399992031977,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,3,800.0,300,50,5.0,0.0,2.106849018843539,0.0,0,1.0,10.879058367922312,19,19,4.9,1.2359883520911046,4.9,3918.9236263596003,4.8986545329495,7.481100008590147,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,4,800.0,300,50,4.974280775938113,0.0051438448123773736,2.6644918485757465,0.0,0,1.0,10.91878047540397,19,19,4.8742807759381135,2.106849018843539,4.8742807759381135,3898.2497515018044,4.872812189377256,5.97090000519529,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,5,800.0,300,50,5.0,0.0,3.122953522974289,0.0,0,1.0,10.926922655922315,19,19,4.9,2.6644918485757465,4.9,3918.7784326056812,4.898473040757102,6.300900015048683,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,6,800.0,300,50,4.957780958842364,0.00844380823152715,4.275815453473573,0.0,0,1.0,8.215760176956346,19,19,4.857780958842365,3.122953522974289,4.857780958842365,3882.624432846536,4.85328054105817,8.344800007762387,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,7,800.0,300,50,5.0,0.0,5.598080387239609,0.0,0,1.0,8.429403174454958,19,19,4.9,4.275815453473573,4.9,3914.3462391626176,4.892932798953272,5.919400020502508,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,8,800.0,300,50,5.0,0.0,6.904754077243113,0.0,0,1.0,7.317382411762675,19,19,4.9,5.598080387239609,4.9,3912.68513564347,4.890856419554337,4.808500001672655,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,9,800.0,300,50,5.0,0.0,7.930069764833764,0.0,0,1.0,7.9804457841389365,19,19,4.9,6.904754077243113,4.9,3912.9204473256477,4.89115055915706,6.105000007664785,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,10,800.0,300,50,4.992795632027277,0.0014408735945446339,9.200993551623228,0.0,0,1.0,8.089459871960484,19,19,4.892795632027277,7.930069764833764,4.892795632027277,3904.1579913267947,4.880197489158493,6.585900002392009,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,11,800.0,300,50,5.0,0.0,10.315501725727971,0.0,0,1.0,7.144708248899706,19,19,4.9,9.200993551623228,4.9,3909.7454174768313,4.8871817718460395,6.463699974119663,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,12,800.0,300,50,5.0,0.0,11.741401027200219,0.0,0,1.0,6.638416590585391,19,19,4.9,10.315501725727971,4.9,3905.2911332949493,4.8816139166186865,6.082600011723116,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,13,800.0,300,50,5.0,0.0,13.255769060708458,0.0,0,1.0,5.820186363195083,19,19,4.9,11.741401027200219,4.9,3902.219197615808,4.8777739970197596,6.133699993370101,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,14,800.0,300,50,4.875125110966558,0.024974977806688337,14.951245989360888,0.0,0,1.0,4.748398946317639,19,19,4.775125110966559,13.255769060708458,4.775125110966559,3797.6252381592712,4.747031547699089,6.221799994818866,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,15,800.0,300,50,4.901781187505902,0.019643762498819585,16.002607017949572,0.0,0,1.0,4.434499474350791,19,19,4.801781187505902,14.951245989360888,4.801781187505902,3825.7057926426646,4.782132240803331,6.382000021403655,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,16,800.0,300,50,5.0,0.0,17.412218476443005,0.0,0,1.0,3.3271264271855983,19,19,4.9,16.002607017949572,4.9,3897.4425417817315,4.871803177227164,5.920099996728823,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,17,800.0,300,50,5.0,0.0,19.272324431010983,0.0,0,1.0,4.0866459496639775,19,19,4.9,17.412218476443005,4.9,3887.61142872973,4.859514285912162,6.162300007417798,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,18,800.0,300,50,1.0253446516208142,0.7949310696758372,20.736858068405645,0.0,1,1.0,3.789119105293504,19,19,0.9253446516208143,19.272324431010983,0.9253446516208143,712.050753896653,0.8900634423708162,5.945299984887242,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,19,800.0,300,50,1.0,0.8,22.48650369210382,0.0,1,1.0,4.685002176071064,19,19,0.9,20.736858068405645,0.9,683.7178470313638,0.8546473087892048,6.414899980882183,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,20,800.0,300,50,1.0,0.8,24.229955830610113,0.2842584994481272,1,0.1,4.2391740230598325,0,19,0.99,22.48650369210382,0.99,752.7958570504719,0.9409948213130899,6.409200024791062,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,21,800.0,300,50,1.0,0.8,24.014471896546194,0.0,1,1.0,3.0440109429566324,19,0,0.9,24.229955830610113,0.9,725.2211662045748,0.9065264577557186,6.230799976037815,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,22,800.0,300,50,1.087624219611435,0.782475156077713,23.819440681572082,0.0,1,1.0,3.042962146389352,19,0,0.987624219611435,24.014471896546194,0.987624219611435,794.7829473200931,0.9934786841501163,6.550699996296316,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,23,800.0,300,50,1.105574280053325,0.778885143989335,23.567475677479354,0.0,1,1.0,3.299447773610914,19,0,1.005574280053325,23.819440681572082,1.005574280053325,810.4610895114788,1.0130763618893486,6.004299997584894,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,24,800.0,300,50,1.0,0.8,23.52812847316228,0.0,1,1.0,2.0,19,0,0.9,23.567475677479354,0.9,720.9273142807194,0.9011591428508993,6.277700013015419,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,25,800.0,300,50,1.0,0.8,23.431024911422217,0.0,1,1.0,2.332813613138047,19,0,0.9,23.52812847316228,0.9,722.2846650758219,0.9028558313447773,6.088199996156618,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,26,800.0,300,50,1.0,0.8,23.243122632596485,0.0,1,1.0,3.0019668539274997,19,0,0.9,23.431024911422217,0.9,724.4027429760787,0.9055034287200984,6.5221999830100685,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,27,800.0,300,50,1.0,0.8,23.172579869740993,0.0,1,1.0,2.0,19,0,0.9,23.243122632596485,0.9,721.6396340878924,0.9020495426098656,6.085700006224215,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,28,800.0,300,50,1.00339281824371,0.799321436351258,23.125598016336916,0.0,1,1.0,2.144257088060825,19,0,0.90339281824371,23.172579869740993,0.90339281824371,723.8029453454025,0.9047536816817531,6.152300018584356,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,29,800.0,300,50,1.0,0.8,23.049520893946408,0.0,1,1.0,2.1580066716792445,19,0,0.9,23.125598016336916,0.9,721.7593289506426,0.9021991611883032,6.562299997312948,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,30,800.0,300,50,1.0,0.8,22.92370864830472,0.0,1,1.0,2.8238961114432115,19,0,0.9,23.049520893946408,0.9,722.8999119846324,0.9036248899807905,5.261999991489574,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,31,800.0,300,50,1.0,0.8,22.68302775555523,0.0,1,1.0,3.4407748665975313,19,0,0.9,22.92370864830472,0.9,725.5172986626033,0.906896623328254,6.228199985343963,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
safe_linucb,1,32,800.0,300,50,1.0,0.8,22.80290796711239,0.0,1,1.0,4.0297438003780055,19,5,0.9,22.68302775555523,0.9,717.2807538339072,0.896600942292384,6.1107000219635665,task3_safe_linucb_V800.0_w300_g50_T2000_s1,exp_1
