algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,semantic_weight,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario
lagrangian_ppo,0,15,800.0,10000,50,2.2816326530612248,0.0,0.0,0.0,1,0.5775510204081633,10.0,0.05,0.0,-1,-1,2.1872641832852358,0.0,2.1872641832852358,1749.8113466281886,2.1872641832852358,0.6928000002517365,4.99,2.2238775510204083,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,16,800.0,10000,50,2.502040816326531,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,-1,-1,2.4648278671836654,0.0,2.4648278671836654,1971.8622937469324,2.4648278671836654,0.6218000016815495,4.99,2.492040816326531,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,17,800.0,10000,50,4.926530612244898,0.0,0.0,0.0,1,0.6326530612244898,10.0,0.05,0.0,-1,-1,4.8474502983039915,0.0,4.8474502983039915,3877.9602386431934,4.8474502983039915,0.729800001863623,4.99,4.863265306122449,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,18,800.0,10000,50,3.6775510204081634,0.0,0.0,0.0,1,0.7612244897959184,10.0,0.05,0.0,-1,-1,3.6220100982472783,0.0,3.6220100982472783,2897.6080785978224,3.6220100982472783,0.9251000010408461,4.99,3.6014285714285714,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,19,800.0,10000,50,3.016326530612245,0.0,0.0,0.0,1,0.9816326530612246,10.0,0.05,0.0,-1,-1,2.9702889337782565,0.0,2.9702889337782565,2376.231147022605,2.970288933778256,1.0180999997828621,4.99,2.9181632653061227,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,20,800.0,10000,50,1.6938775510204083,0.0,0.0,0.0,1,0.7979591836734694,10.0,0.05,0.0,-1,-1,1.6076548995058597,0.0,1.6076548995058597,1286.1239196046877,1.6076548995058595,0.646799999231007,4.99,1.6140816326530614,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,21,800.0,10000,50,4.338775510204082,0.0,0.0,0.0,0,0.44897959183673475,10.0,0.05,0.0,-1,-1,4.362200724547892,0.0,4.362200724547892,3489.760579638314,4.362200724547892,0.6539000023622066,4.99,4.293877551020408,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,22,800.0,10000,50,4.118367346938776,0.0,0.0,0.0,1,0.926530612244898,10.0,0.05,0.0,-1,-1,3.992454552039955,0.0,3.992454552039955,3193.963641631964,3.992454552039955,0.6638999984716065,4.99,4.025714285714286,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,23,800.0,10000,50,3.3836734693877553,0.0,0.0,0.0,1,0.5224489795918368,10.0,0.05,0.0,-1,-1,3.3490040749332226,0.0,3.3490040749332226,2679.203259946578,3.349004074933222,0.6581000016012695,4.99,3.3314285714285714,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,24,800.0,10000,50,3.6775510204081634,0.0,0.0,0.0,0,0.3755102040816327,10.0,0.05,0.0,-1,-1,3.6851735090825906,0.0,3.6851735090825906,2948.1388072660725,3.6851735090825906,0.7430000005115289,4.99,3.64,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,25,800.0,10000,50,3.3836734693877553,0.0,0.0,0.0,0,0.2285714285714286,10.0,0.05,0.0,-1,-1,3.3655169414186563,0.0,3.3655169414186563,2692.413553134925,3.3655169414186563,0.6773000022803899,4.99,3.3608163265306126,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,26,800.0,10000,50,3.236734693877551,0.0,0.0,0.0,0,0.43061224489795924,10.0,0.05,0.0,-1,-1,3.156498506920065,0.0,3.156498506920065,2525.198805536052,3.156498506920065,0.6515000022773165,4.99,3.1936734693877553,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,27,800.0,10000,50,4.559183673469388,0.0,0.0,0.0,1,0.889795918367347,10.0,0.05,0.0,-1,-1,4.424117812819732,0.0,4.424117812819732,3539.2942502557858,4.424117812819732,0.7027999999991152,4.99,4.470204081632653,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,28,800.0,10000,50,1.6204081632653062,0.0,0.0,0.0,0,0.19183673469387758,10.0,0.05,0.0,-1,-1,1.5783381985125515,0.0,1.5783381985125515,1262.6705588100413,1.5783381985125515,0.7337999995797873,4.99,1.6012244897959185,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,29,800.0,10000,50,4.118367346938776,0.0,0.0,0.0,1,0.5408163265306123,10.0,0.05,0.0,-1,-1,4.075295470459216,0.0,4.075295470459216,3260.236376367373,4.075295470459216,0.7335999980568886,4.99,4.064285714285714,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,30,800.0,10000,50,3.8244897959183675,0.0,0.0,0.0,0,0.15510204081632656,10.0,0.05,0.0,-1,-1,3.758498682659798,0.0,3.758498682659798,3006.7989461278385,3.758498682659798,0.6654999997408595,4.99,3.8089795918367346,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,31,800.0,10000,50,3.3102040816326532,0.0,0.0,0.0,1,0.8346938775510204,10.0,0.05,0.0,-1,-1,3.216275915133966,0.0,3.216275915133966,2573.0207321071725,3.2162759151339655,2.0911000028718263,4.99,3.2267346938775514,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
lagrangian_ppo,0,32,800.0,10000,50,4.779591836734694,0.0,0.0,0.0,0,0.2285714285714286,10.0,0.05,0.0,-1,-1,4.748773443381827,0.0,4.748773443381827,3799.0187547054616,4.748773443381827,1.3016000011703,4.99,4.756734693877551,task3_lagrangian_ppo_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
