algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,semantic_weight,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario
sw_ucb,0,16,800.0,10000,50,2.502040816326531,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,15,2.4648278671836654,0.0,2.4648278671836654,1971.8622937469324,2.4648278671836654,0.45650000174646266,4.99,2.492040816326531,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,17,800.0,10000,50,2.575510204081633,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,16,2.5496951962631753,0.0,2.5496951962631753,2039.7561570105402,2.5496951962631753,0.4673000003094785,4.99,2.565510204081633,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,18,800.0,10000,50,2.648979591836735,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,17,2.659561118655442,0.0,2.659561118655442,2127.6488949243535,2.659561118655442,0.46320000183186494,4.99,2.638979591836735,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,19,800.0,10000,50,2.722448979591837,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,18,2.764574648063971,0.0,2.764574648063971,2211.659718451177,2.764574648063971,0.5807999987155199,4.99,2.712448979591837,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,20,800.0,10000,50,2.795918367346939,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,19,2.7794916341997373,0.0,2.7794916341997373,2223.59330735979,2.7794916341997373,0.744100001611514,4.99,2.785918367346939,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,21,800.0,10000,50,2.869387755102041,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,20,2.9277109286295255,0.0,2.9277109286295255,2342.1687429036206,2.9277109286295255,0.7166000032157172,4.99,2.8593877551020412,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,22,800.0,10000,50,2.942857142857143,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,21,2.8995974091828125,0.0,2.8995974091828125,2319.67792734625,2.8995974091828125,0.464000000647502,4.99,2.9328571428571433,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,23,800.0,10000,50,3.016326530612245,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,22,3.0239020341168965,0.0,3.0239020341168965,2419.121627293517,3.0239020341168965,0.45840000166208483,4.99,3.0063265306122453,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,24,800.0,10000,50,3.089795918367347,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,23,3.1249694274499378,0.0,3.1249694274499378,2499.97554195995,3.1249694274499378,0.4616999976860825,4.99,3.0797959183673473,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,25,800.0,10000,50,3.163265306122449,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,24,3.157965921010493,0.0,3.157965921010493,2526.3727368083946,3.157965921010493,0.45840000166208483,4.99,3.1532653061224494,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,26,800.0,10000,50,3.236734693877551,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,25,3.189559731409861,0.0,3.189559731409861,2551.6477851278887,3.189559731409861,0.46660000225529075,4.99,3.2267346938775514,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,27,800.0,10000,50,3.3102040816326532,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,26,3.2541178128197323,0.0,3.2541178128197323,2603.2942502557858,3.2541178128197323,0.46550000115530565,4.99,3.3002040816326534,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,28,800.0,10000,50,3.3836734693877553,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,27,3.3507871781043885,0.0,3.3507871781043885,2680.6297424835107,3.3507871781043885,0.4842000016651582,4.99,3.3736734693877555,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,29,800.0,10000,50,3.4571428571428573,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,28,3.45815261331636,0.0,3.45815261331636,2766.522090653088,3.45815261331636,0.4788000005646609,4.99,3.4471428571428575,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,30,800.0,10000,50,3.5306122448979593,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,29,3.470131335721023,0.0,3.470131335721023,2776.105068576818,3.470131335721023,0.48299999980372377,4.99,3.5206122448979595,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
sw_ucb,0,31,800.0,10000,50,3.6040816326530614,0.0,0.0,0.0,0,0.1,10.0,0.05,0.0,0,30,3.583622853909476,0.0,3.583622853909476,2866.8982831275807,3.583622853909476,0.5283999998937361,4.99,3.5940816326530616,task3_sw_ucb_V800.0_w10000_g50_T10000_s0,exp_0,bandit_stationary_pure
